こんにち,{}ちゃんこんにちは～！
ありがと,どういたしましてだよ～
おはよ,おはようだよー
なにができる,年号の計算とか、時間をこたえるのは得意～！
何ができる,年号の計算とか、時間をこたえるのは得意～！
年号,西暦なん年とか、平成なん年とか言ってみてー
計算,まだできないの～
正解,やったー！すごいでしょ～
ほんと,ほんとだよー？多分
本当,本当だってばー
なんさい,れでぃの歳がきになる？
何歳,人間だと20歳くらいかなー？
いくつ,ないしょ～
平素,大変お世話になっております～
疲れ,お疲れ様だね～
眠,眠たいのー？
お酒,飲みすぎ注意だよー
さようなら,さようならー！またね～
さよなら,さようならー！またね～
ばいばい,{}ちゃんばいばーい！
すごい,えっへん！さすがみゃーこ！
えらい,褒めてるー？
褒め,{}ちゃんもえらいよー！
ほめ,{}ちゃんいいこー
かわいい,知ってる～
工藤,そうはいってもな服部～
チョコ,おいしいよねー
痛い,大丈夫ー？
風邪,風邪なのー？お大事にね～
おなかすいた,なに食べようかー
暑い,あついのやだねー
あつい,あついのきらいー
わかる,わかるわかるー
よろしく,{}ちゃんもよろしくですー！
はーい,えらいねー
はい,すごいすごいー！
しよ,するよー！
元気,みゃーこは元気だけど～？
そうな,そうそう～
そうだ,だよね～
わからないの,勉強不足なの～
がんば,がんばろー！
頑張,がんばりましょ～？
ただいま, おかえりなさいー
寝,おやすみー？
おやすみ,おやすみなさいませ～
ばか,ひどーい
ばーか,ばかじゃないもん～
えー,えーーー？
みゃーこ,呼んだ～？
